id,scrimId,event_type,match_time,round_number,previous_objective_index,current_objective_index,MapDataId
14805,1187,objective_updated,112.15,2,0,3,4508
14806,1187,objective_updated,230.1,3,3,2,4508
14807,1187,objective_updated,348.11,4,2,4,4508
14808,1187,objective_updated,502.25,5,4,1,4508
14809,1187,objective_updated,93.08,1,0,1,4510
14810,1187,objective_updated,199.21,1,1,2,4510
14811,1187,objective_updated,328.81,1,2,3,4510
14812,1187,objective_updated,328.81,2,3,0,4510
14813,1187,objective_updated,373.79,2,0,1,4510
14814,1187,objective_updated,477.84,2,1,2,4510
14815,1187,objective_updated,548.88,2,2,3,4510
14816,1187,objective_updated,0,1,0,2,4511
14817,1187,objective_updated,212.4,2,2,0,4511
14818,1187,objective_updated,518.18,3,0,1,4511
14819,1188,objective_updated,0,1,0,2,4512
