[00:03:23] ;player_ult;Yomi;1;0
[00:03:23] ;player_status;jhan;Tracer;(-26.71, -2.99, 43.68)
[00:03:23] ;player_health;jhan;150;150
[00:03:23] ;player_ult;jhan;3;0
[00:03:23] ;player_status;burninate;Tracer;(-29.04, -1.98, 54.50)
[00:03:23] ;player_health;burninate;150;150
[00:03:23] ;player_ult;burninate;3;0
[00:03:23] ;player_status;Electric;Zenyatta;(5.09, 1.91, 86.46)
[00:03:23] ;player_health;Electric;200;200
[00:03:23] ;player_ult;Electric;2;0
[00:03:23] ;player_status;seniorcheese;D.Va;(-14.09, -2.22, 53.40)
[00:03:23] ;player_health;seniorcheese;600;600
[00:03:23] ;player_ult;seniorcheese;3;0
[00:03:23] ;player_status;Midreadias;Zarya;(-10.39, 1.27, 76.58)
[00:03:23] ;player_health;Midreadias;400;400
[00:03:23] ;player_ult;Midreadias;2;0
[00:03:23] ;player_status;Catalyst;Ana;(5.43, -4.23, 41.02)
[00:03:23] ;player_health;Catalyst;200;200
[00:03:23] ;player_ult;Catalyst;2;0
[00:03:23] ;player_status;teejusb;Ashe;(0.55, 1.92, 90.67)
[00:03:23] ;player_health;teejusb;200;200
[00:03:23] ;player_ult;teejusb;2;0
[00:03:23] ;player_status;JohnnyB;Ana;(-26.16, 2.02, 101.35)
[00:03:23] ;player_health;JohnnyB;200;200
[00:03:23] ;player_ult;JohnnyB;2;0
[00:03:23] ;player_status;MortalWombat;Winston;(6.80, -3.05, 66.07)
[00:03:23] ;player_health;MortalWombat;500;500
[00:03:23] ;player_ult;MortalWombat;3;0
[00:03:23] ;player_status;hypnobeam;Winston;(-23.55, -2.78, 48.86)
[00:03:23] ;player_health;hypnobeam;500;500
[00:03:23] ;player_ult;hypnobeam;3;0
[00:03:24] ;damage_dealt;Midreadias;42;seniorcheese
[00:03:24] ;player_status;BiggieZ;Sombra;(9.09, -2.54, 58.35)
[00:03:24] ;player_health;BiggieZ;200;200
[00:03:24] ;player_ult;BiggieZ;3;0
[00:03:24] ;player_status;Yomi;Lúcio;(-22.43, -4.82, 34.58)
[00:03:24] ;player_health;Yomi;200;200
[00:03:24] ;player_ult;Yomi;1;0
[00:03:24] ;player_status;jhan;Tracer;(-26.40, -3.58, 45.95)
[00:03:24] ;player_health;jhan;150;150
[00:03:24] ;player_ult;jhan;4;0
[00:03:24] ;player_status;burninate;Tracer;(-28.54, -1.28, 53.98)
[00:03:24] ;player_health;burninate;150;150
[00:03:24] ;player_ult;burninate;4;0
[00:03:24] ;player_status;Electric;Zenyatta;(5.09, 1.92, 86.75)
[00:03:24] ;player_health;Electric;200;200
[00:03:24] ;player_ult;Electric;2;0
[00:03:24] ;player_status;seniorcheese;D.Va;(-15.80, -3.55, 49.70)
[00:03:24] ;player_health;seniorcheese;558;600
[00:03:24] ;player_ult;seniorcheese;3;0
[00:03:24] ;player_status;Midreadias;Zarya;(-10.62, 1.27, 75.29)
[00:03:24] ;player_health;Midreadias;400;400
[00:03:24] ;player_ult;Midreadias;4;0
[00:03:24] ;player_status;Catalyst;Ana;(5.23, -4.23, 40.84)
[00:03:24] ;player_health;Catalyst;200;200
[00:03:24] ;player_ult;Catalyst;2;0
[00:03:24] ;player_status;teejusb;Ashe;(2.07, 1.92, 91.22)
[00:03:24] ;player_health;teejusb;200;200
[00:03:24] ;player_ult;teejusb;2;0
[00:03:24] ;player_status;JohnnyB;Ana;(-26.21, 2.02, 101.09)
[00:03:24] ;player_health;JohnnyB;200;200
[00:03:24] ;player_ult;JohnnyB;2;0
[00:03:24] ;player_status;MortalWombat;Winston;(6.84, -3.05, 66.36)
[00:03:24] ;player_health;MortalWombat;500;500
[00:03:24] ;player_ult;MortalWombat;3;0
[00:03:24] ;player_status;hypnobeam;Winston;(-23.07, -3.62, 50.27)
[00:03:24] ;player_health;hypnobeam;500;500
[00:03:24] ;player_ult;hypnobeam;3;0
[00:03:24] ;used_ability_1;Yomi;Lúcio;<Icon>
[00:03:25] ;player_status;BiggieZ;Sombra;(10.92, -1.98, 59.54)
[00:03:25] ;player_health;BiggieZ;200;200
[00:03:25] ;player_ult;BiggieZ;4;0
[00:03:25] ;player_status;Yomi;Lúcio;(-23.48, -4.30, 38.69)
[00:03:25] ;player_health;Yomi;200;200
[00:03:25] ;player_ult;Yomi;2;0
[00:03:25] ;player_status;jhan;Tracer;(-26.40, -3.58, 45.95)
[00:03:25] ;player_health;jhan;150;150
[00:03:25] ;player_ult;jhan;4;0
[00:03:25] ;player_status;burninate;Tracer;(-28.48, -1.64, 53.91)
[00:03:25] ;player_health;burninate;150;150
[00:03:25] ;player_ult;burninate;4;0
[00:03:25] ;player_status;Electric;Zenyatta;(5.08, 1.91, 88.89)
[00:03:25] ;player_health;Electric;200;200
[00:03:25] ;player_ult;Electric;2;0
[00:03:25] ;player_status;seniorcheese;D.Va;(-20.22, -3.59, 50.41)
[00:03:25] ;player_health;seniorcheese;558;600
[00:03:25] ;player_ult;seniorcheese;4;0
[00:03:25] ;player_status;Midreadias;Zarya;(-10.94, 1.27, 77.52)
[00:03:25] ;player_health;Midreadias;400;400
[00:03:25] ;player_ult;Midreadias;4;0
